latitude	longitude	ID	Number	Province
36.21256	114.23182	AnYang	11	Henan
35.19079	113.80516	XinXiang	56	Henan
33.64738	114.65048	ZhouKou	17	Henan
34.939312	113.064735	JiaoZuo	17	Henan
34.39737	115.86519	ShangQiu	15	Henan
34.70431	112.51078	LuoYang	3	Henan
32.11683	114.05857	XinYang	17	Henan
33.14576	114.01319	ZhuMaDian	33	Henan
33.89889	112.89888	PingDingShan	3	Henan
34.86739	113.61694	ZhengZhou	27	Henan
34.2164	114.098999	XuChang	8	Henan
33.16026	115.62203	FuYang	14	Anhui
33.91274	117.94108	XuZhou	8	Jiangsu
35.93708	116.47024	TaiAn	8	Shandong
36.49473	117.86172	ZiBo	20	Shandong
36.68013	117.06533	JiNan	8	Shandong
31.32751	118.8921	NanJing	1	Jiangsu
30.41875	120.298501	HangZhou	17	Zhejiang
30.35269	112.19016	JingZhou	10	Hubei
30.79589	103.90256	ChengDu	11	Sichuan
31.47377	104.76622	MianYang	10	Sichuan
34.32908	108.70641	XianYang	21	Shaanxi
