gene_family_id	R5-3	M.roreri	B.botryosum	R0301	P.striiformis	P.oryzae	U.maydis	R10-1	R.solani	P.placenta	R1-6-1	R1-8-2
GF_1	155	0	0	172	0	0	0	139	633	0	164	159
GF_2	110	1	27	109	0	3	0	106	94	6	128	123
GF_3	3	411	0	7	0	0	1	5	211	0	3	7
GF_4	0	556	0	0	0	1	0	0	9	2	0	0
GF_5	1	20	318	1	0	0	0	1	2	4	1	1
GF_6	6	48	209	6	0	0	0	8	10	6	7	7
GF_7	0	0	0	0	0	0	0	0	0	244	0	0
GF_8	42	0	0	50	1	0	0	49	5	0	38	56
GF_9	0	0	0	0	228	0	0	0	0	0	0	0
GF_10	33	1	1	38	0	2	1	35	5	1	34	45
GF_11	0	0	0	0	0	0	0	0	192	0	0	0
GF_12	20	12	17	20	5	8	10	18	17	18	20	23
GF_13	29	0	0	28	0	0	0	29	38	0	29	32
GF_14	0	183	0	0	0	0	0	0	0	0	0	0
GF_15	10	34	51	8	1	1	1	9	6	40	9	10
GF_16	0	173	0	0	0	0	0	0	0	0	0	0
GF_17	0	143	23	0	0	0	0	0	0	5	0	1
GF_18	0	0	1	0	161	0	0	0	2	1	1	0
GF_19	24	0	0	36	0	0	0	33	7	0	24	35
GF_20	0	158	0	0	0	0	0	0	0	0	0	0
GF_21	29	0	0	30	0	0	0	29	0	0	34	35
GF_22	0	0	0	0	157	0	0	0	0	0	0	0
GF_23	0	0	145	0	0	0	0	0	0	0	0	0
GF_24	12	0	0	8	0	0	0	11	97	0	4	13
GF_25	20	0	0	17	0	1	0	16	54	0	18	19
GF_26	0	4	135	0	0	0	0	0	0	0	0	0
GF_27	0	0	1	1	132	0	0	0	0	0	0	0
GF_28	19	4	4	19	0	0	0	22	4	3	19	39
GF_29	0	132	0	0	0	0	0	0	0	0	0	0
GF_30	19	4	17	13	0	1	0	16	11	8	18	20
GF_31	16	0	0	15	0	0	1	17	36	1	18	20
GF_32	16	2	1	16	0	0	0	13	39	0	20	16
GF_33	2	79	4	1	0	0	0	2	0	27	2	2
GF_34	21	0	0	20	0	0	0	26	4	0	21	24
GF_35	0	3	16	0	86	0	0	0	0	10	0	0
GF_36	14	0	5	26	0	0	0	17	13	0	23	16
GF_37	9	3	1	3	0	0	1	13	63	0	9	10
GF_38	6	49	5	10	0	0	0	6	2	16	7	10
GF_39	0	0	107	0	0	0	0	0	0	0	0	0
GF_40	0	107	0	0	0	0	0	0	0	0	0	0
GF_41	0	0	0	0	0	0	0	0	0	103	0	0
GF_42	0	9	80	0	0	9	1	0	0	2	0	0
GF_43	23	1	5	14	0	0	0	21	1	3	16	16
GF_44	5	3	1	4	62	0	0	9	2	0	7	7
GF_45	4	2	6	9	35	0	0	12	1	1	14	13
GF_46	13	0	0	15	0	0	0	16	21	0	15	17
GF_47	8	14	0	9	0	0	0	8	14	21	7	10
GF_48	1	84	0	0	0	0	0	0	3	2	0	0
